name,price,prod_url
Flat Rock Twisted White,17.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/flat-rock-twisted-white-1578
Angels Gate Chardonnay VQA,14.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/angels-gate-chardonnay-vqa-1818
Susana Balbo Crios Torrontés,14.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/susana-balbo-crios-torront%C3%A9s-1834
Mouton Cadet Bordeaux White AOC,15.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/mouton-cadet-bordeaux-white-aoc-2527
"Deinhard Green Label Riesling, Mosel",11.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/deinhard-green-label-riesling-mosel-8094
Navip Riesling,9.45,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/navip-riesling-9548
Willm Réserve Riesling,19.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/willm-r%C3%A9serve-riesling-11452
Moselland Bernkasteler Kurfurstlay Riesling,11.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/moselland-bernkasteler-kurfurstlay-riesling-15875
Peller Family Vineyards Chardonnay,11.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/peller-family-vineyards-chardonnay-16352
Peller Family Vineyards Pinot Grigio,11.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/peller-family-vineyards-pinot-grigio-16394
Citra Pinot Grigio Terre Di Chieti IGP,9.55,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/citra-pinot-grigio-terre-di-chieti-igp-17483
G.A. Schmitt Winzertanz,15.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/ga-schmitt-winzertanz-20263
Spumante Bambino,9.45,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/spumante-bambino-1826
Spumante Bambino,15.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/spumante-bambino-4762
Henkell Trocken,8.8,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/henkell-trocken-40469
Blu Giovello Prosecco,15.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/blu-giovello-prosecco-85316
Spumante Bambino,15.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/spumante-bambino-96966
13th Street Cuvée Brut Rosé,29.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/13th-street-cuv%C3%A9e-brut-ros%C3%A9-147504
Sexy Sparkling Rosé Brut,30.9,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/sexy-sparkling-ros%C3%A9-brut-155878
Henkell Trocken,26.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/henkell-trocken-161711
Quinta Sao Simao Aguieira 2012,13.35,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/quinta-sao-simao-aguieira-2012-193572
Huff Estates Cuvée Peter F. Huff 2015,32.25,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/huff-estates-cuv%C3%A9e-peter-f-huff-2015-198754
Jacob's Creek Chardonnay Pinot Noir Sparkling,15.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/jacobs-creek-chardonnay-pinot-noir-sparkling-210633
De Chanceny Cremant De Loire Rose Brut,20.05,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/de-chanceny-cremant-de-loire-rose-brut-211466
Wolf Blass Yellow Label Cabernet Sauvignon,10.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/wolf-blass-yellow-label-cabernet-sauvignon-15941
JJ McWilliam Shiraz Cabernet,10.4,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/jj-mcwilliam-shiraz-cabernet-16741
Bolla Valpolicella Classico,14.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/bolla-valpolicella-classico-16840
